date,rc_real_gold_252d,rc_dollar_gold_252d
2025-02-27,-0.24177012303843132,-0.32612072789960744
2025-02-28,-0.2383734729179323,-0.32656883831256
2025-03-03,-0.241261761880031,-0.33064109087375804
2025-03-04,-0.23461459619295685,-0.32771125428188486
2025-03-05,-0.23332460156174895,-0.31845973442201314
2025-03-06,-0.23463724124316468,-0.3141809853577059
2025-03-07,-0.23132752194386355,-0.31444969811418877
2025-03-10,-0.2225295025611221,-0.31687315614339984
2025-03-11,-0.22167166758559845,-0.31610947702097375
2025-03-12,-0.22250022004208167,-0.31633327220703666
2025-03-13,-0.22282018517485022,-0.31242397137896144
2025-03-14,-0.2210866730526243,-0.3113255466502296
2025-03-17,-0.22117889086484477,-0.31368542650976433
2025-03-18,-0.22349044758307596,-0.3118549470408008
2025-03-19,-0.23564664516872616,-0.3170477147215218
2025-03-20,-0.23902766244150428,-0.3152557668209543
2025-03-21,-0.23802924474126547,-0.31522435517897207
2025-03-24,-0.24258289168198713,-0.31731664616508737
2025-03-25,-0.2528143787404048,-0.3230468011127453
2025-03-26,-0.25432896785819664,-0.3222221033112696
2025-03-27,-0.25107348317383815,-0.3195692191895884
2025-03-28,-0.2454463347189701,-0.3129077341759577
2025-03-31,-0.2540269790688095,-0.3099758679418344
2025-04-01,-0.26254788932547646,-0.30073927472894757
2025-04-02,-0.28200338922671087,-0.3054094839450794
2025-04-03,-0.27224126246755054,-0.282063832703174
2025-04-04,-0.28442860796226677,-0.3043273050556167
2025-04-07,-0.30609466966744425,-0.3209554796901575
2025-04-08,-0.2999731843552765,-0.32099413228414664
2025-04-09,-0.2857553633208056,-0.3279386571220476
2025-04-10,-0.24794545767140988,-0.35233887121606056
2025-04-11,-0.2333310353222387,-0.36372502586679023
2025-04-14,-0.2232501907513256,-0.360161517244324
2025-04-15,-0.22245420416700645,-0.35983203998264013
2025-04-16,-0.22936880859360878,-0.3695603603669616
2025-04-17,-0.2200914999975528,-0.36318279229012834
2025-04-18,-0.21855525497444978,-0.36351839183869056
2025-04-21,-0.1926224669535633,-0.37905369169602726
2025-04-22,-0.18474632200736646,-0.37997156923690784
2025-04-23,-0.17529136256101208,-0.3872866973625853
2025-04-24,-0.18286167696678066,-0.38662217150596295
2025-04-25,-0.18179137944095997,-0.38480665148793175
2025-04-28,-0.18142489520314134,-0.3866142182604519
2025-04-29,-0.18118197075372977,-0.3837571049825138
2025-04-30,-0.18094449044271482,-0.38416538444792336
